Codigo,Categoria,Bairro,Cidade,ValorVenda,ValorLocacao,AreaTotal,AreaPrivativa,Dormitorios,Suites,Vagas,BanheiroSocial,Endereco,Numero,Complemento,CEP,UF,DataCadastro,DataAtualizacao,Status,Situacao,DescricaoWeb,TituloSite,BairroComercial,CodigoImobiliaria
1,Apartamento,Auxiliadora,Porto Alegre,1080000,,104,72,1,1,1,Nao,América,279,301,90440-020,RS,2021-05-03,2025-11-24,Venda,Usado,"Apartamento de 1 dormitório (suíte), ensolarado e com ótima ventilação cruzada. Possui hall de entrada, lavabo, cozinha americana integrada à sala de estar, área de serviço, churrasqueira e vaga de garagem coberta. Todo mobiliado e decorado, oferece conforto e praticidade em cada ambiente.

O condomínio conta com infraestrutura funcional, incluindo elevador, interfone e terraço coletivo, proporcionando praticidade no dia a dia.

A localização é privilegiada, em região com excelente mobilidade a pé, próxima a comércios, serviços e opções de lazer, facilitando a rotina e valorizando ainda mais o imóvel.

Agende sua visita!","APARTAMENTO 1 SUÍTE, 1 VAGA, EXCELENTE LOCALIZAÇÃO",Auxiliadora,32622
101,Empreendimento,Jardim Europa,Porto Alegre,0,0,0,0,0,0,0,Nao,Túlio de Rose,400,,91340-110,RS,2021-05-21,2025-09-24,Venda,,,,Jardim Europa,32622
102,Cobertura,Passo da Areia,Porto Alegre,1180000,,207,169,3,1,2,Sim,Roque Calage,609,401,91350-090,RS,2021-05-21,2025-11-26,Venda,Usado,"Venha conhecer essa incrível cobertura com 169 m² de área útil, 3 quartos sendo 1 suíte, um espaçoso living para 3 ambientes, lareira e churrasqueira para momentos de lazer em família. Além disso, conta com uma copa cozinha bem equipada e 2 vagas de garagem cobertas.

O condomínio possui elevador e um salão de festas para receber amigos e familiares com todo o conforto e comodidade.

Localizado em uma região privilegiada, próximo ao Bourbon Country e Shopping Iguatemi, esse imóvel oferece toda a praticidade e conveniência que você procura.

Não perca essa oportunidade única! Agende sua visita e venha se encantar com essa belíssima cobertura.","Cobertura3 quartos ( 1 suíte) à venda no Passo D""",Passo da Areia,32622
108,Empreendimento,Jardim do Salso,Porto Alegre,0,0,0,0,0,0,0,Nao,José Albano Volkmer,230,,91410-180,RS,2021-05-22,2025-09-24,Venda,,,,Jardim do Salso,32622
132,Empreendimento,Rio Branco,Porto Alegre,0,0,0,0,0,0,0,Nao,Abrahão Melnick,11,,90420-092,RS,2021-05-31,2025-12-02,Venda,,,,Rio Branco,32622
139,Empreendimento,Petrópolis,Porto Alegre,0,0,0,0,0,0,0,Nao,Curvelo,200,,90410-010,RS,2021-06-03,2025-09-24,Venda,,,,Petrópolis,32622
151,Empreendimento,Vila Jardim,Porto Alegre,0,0,0,0,0,0,0,Nao,Cananéia,255,,91330-580,RS,2021-06-09,2025-09-24,Venda,,,,Vila Jardim,32622
157,Salas/Conjuntos,Jardim Europa,Porto Alegre,645000,,90.61,43.43,0,0,1,Nao,Nilo Peçanha,3245,1607,91330-001,RS,2021-06-14,2025-09-25,Venda,,"ReservaImob vende sala comercial semi-mobiliada, com 43 m2, 1 lavabo,  1 vaga de garagem escriturada e linda vista. Tudo o que você precisa em um só lugar. As melhores opções estão a sua volta, 2 Shoppings, 1 Mall e 1 Parque. Empreendimento luxuoso, com infraestrutura completa para atender suas necessidades corporativas. Agende a sua visita.","Excelente conjunto comercial no Hom Nilo Office,",Jardim Europa,32622
179,Casa,Boa Vista,Porto Alegre,2393000,,500,342,4,1,4,Sim,Frei Henrique Golland Trindade,555,,90480-140,RS,2021-07-08,2025-04-17,Venda,Usado,"Sobrado em rua diferenciada, em frente a uma das praças mais bonitas e preservadas da cidade. 

São 4 dormitórios, sendo uma suíte com closet, banheiro  social, lavabo, hall de entrada, living para 3 ambientes, estar íntimo, sala de jantar, copa/cozinha, despensa, gabinete, depósito, dependência de empregada, adega, área de serviço com lavanderia e terraço com churrasqueira e sem falar na piscina com cobertura móvel.  

O espaço da garagem proporciona estacionar até 4 carros. Os detalhes preservados da construção, como o tijolo maciço, o taboão em ipê e as esquadrias de louro freijó realçam de imediato a qualidade da obra .

Ótima localização, próximo ao Zaffari Higienópolis, Super Asun da Plinio e do Shopping Iguatemi. Venha conhecer! Marque uma visita com um corretor da Reserva Imob. !",SOBRADO 4 DORMITÓRIOS NO BAIRRO BOA VISTA,Boa Vista,32622
181,Casa,Três Figueiras,Porto Alegre,1650000,,350.46,243.04,4,1,3,Sim,Luiz Voelcker,351,1,91330-190,RS,2021-07-08,2025-11-01,Venda,Usado,"Reserva Imob, vende casa espetacular ao lado do Colégio Farroupilha , com 243,04 m² , semi mobiliada, com 4 dormitórios , sendo 1 suíte master, com lavabo no hall de entrada, lareira na sala intima, escritório, 2 salas de estar e 1 sala de jantar , cozinha separada toda mobiliada, salão de festa com churrasqueira, e cozinha auxiliar. Pátio, piscina, dependência de empregada, 3 garagens e uma vista panorâmica linda.
Agende a sua visita, com um corretor da Reserva Imob.","CASA 4 DORMITÓRIOS, UMA SUITE MASTER E TRÊS VAGAS",Três Figueiras,32622
